length,real_depth,random_depth,real_max_arity,random_max_arity
10,5,5.8,4,2.6
6,4,4.65,3,1.9
12,6,7.6,4,2.4
12,6,6.4,4,2.7
4,2,3.45,3,1.55
31,15,11.4,4,3.6
5,3,3.7,3,2.15
13,4,6.85,8,2.8
14,7,6.75,3,2.9
28,10,11.0,3,3.5
20,8,8.95,7,3.15
10,6,5.65,3,2.65
60,9,15.35,8,4.05
5,5,4.15,1,1.8
30,10,11.15,7,3.55
26,9,10.8,4,3.3
16,7,8.1,5,3.0
31,10,12.5,6,3.1
19,8,8.8,4,3.2
27,9,11.45,5,3.55
23,7,10.55,4,3.5
42,13,14.95,5,3.6
50,18,16.25,5,3.6
68,15,18.9,5,4.05
31,9,12.4,4,3.4
9,4,5.8,3,2.35
53,12,15.0,6,3.8
17,9,8.45,3,2.95
8,5,4.85,4,2.5
62,14,19.05,5,3.9
30,10,12.0,6,3.35
27,5,10.5,5,3.2
24,9,10.1,4,3.3
30,7,12.25,5,3.3
21,7,9.05,4,3.15
39,9,13.5,6,3.75
21,7,8.65,5,3.1
18,6,8.6,6,3.2
35,11,12.6,5,3.55
19,8,8.65,6,2.9
10,6,5.75,3,2.6
59,9,17.4,8,4.0
23,8,9.7,6,3.15
36,11,13.4,6,3.55
40,10,12.45,5,3.5
13,7,6.85,3,2.6
32,7,12.45,4,3.5
36,8,12.4,8,3.75
16,8,7.35,5,3.1
20,6,9.25,3,3.15
16,5,7.75,5,2.85
16,6,7.35,4,2.85
41,9,15.1,6,3.5
16,5,7.55,7,2.8
43,9,14.8,5,3.4
4,2,3.3,3,1.7
36,9,13.05,5,3.5
30,8,11.2,4,3.6
15,7,7.7,5,2.95
11,5,6.15,3,2.6
11,6,6.85,3,2.35
24,8,11.05,5,3.2
11,5,6.25,4,2.8
24,7,10.1,3,3.2
34,9,12.25,6,3.65
32,11,12.35,4,3.4
15,6,7.95,5,2.75
27,8,11.55,4,3.05
55,13,17.65,7,3.7
28,12,12.0,5,3.25
34,10,13.2,3,3.3
24,6,9.45,4,3.55
24,7,10.25,3,3.1
22,6,9.95,6,3.25
30,8,12.15,5,3.4
28,8,10.85,6,3.7
24,9,9.6,6,3.4
30,9,11.45,5,3.45
14,6,8.15,4,2.9
18,9,8.95,5,2.75
23,11,9.15,4,3.3
20,7,9.25,4,2.95
19,6,8.8,6,3.15
8,4,5.5,3,2.3
40,13,14.35,7,3.7
6,3,4.3,3,2.1
33,8,12.3,5,3.6
26,10,10.7,5,3.3
24,8,11.05,4,2.95
20,5,9.5,6,2.8
30,7,11.45,5,3.45
55,14,17.15,6,3.7
31,9,11.2,4,3.7
33,13,11.75,4,3.55
28,8,11.2,4,3.55
13,5,7.45,5,2.95
10,7,5.7,3,2.75
16,9,7.95,3,3.0
40,7,13.2,8,3.45
28,9,11.3,6,3.35
15,6,6.95,6,3.05
28,8,11.15,6,3.5
8,5,5.1,4,2.25
23,11,10.95,6,3.4
25,8,10.35,5,3.0
11,6,6.6,3,2.7
14,7,7.35,4,3.05
38,16,12.8,4,3.65
13,5,7.55,5,2.55
23,6,9.65,6,3.35
32,8,13.05,6,3.55
28,7,10.7,5,3.6
38,9,11.95,6,3.5
26,10,10.6,4,3.45
42,7,15.95,7,3.35
19,11,8.15,4,3.25
5,2,3.7,4,2.0
21,9,9.5,4,3.3
37,14,13.15,5,3.4
26,8,10.5,5,3.5
29,8,10.3,6,3.5
48,10,14.75,7,4.0
17,10,8.75,4,2.9
19,6,8.65,4,3.3
36,13,13.4,5,3.65
17,9,8.35,4,3.15
23,11,9.95,4,3.1
20,7,8.25,4,3.3
19,6,8.7,6,3.05
8,4,5.25,3,2.5
39,13,13.05,6,3.35
27,12,10.55,4,3.5
11,4,6.75,4,2.55
52,9,16.15,5,3.6
17,9,7.9,4,2.9
19,7,8.7,4,3.05
33,11,12.3,4,3.75
37,9,12.75,6,3.6
26,11,10.35,4,3.25
26,12,11.4,4,3.5
37,10,13.25,4,3.35
22,9,9.2,3,3.05
61,13,18.6,5,4.15
16,6,8.6,3,2.9
13,5,7.3,4,2.8
20,6,9.9,6,3.1
24,10,11.05,6,3.05
15,9,7.35,4,3.05
27,10,10.95,5,3.1
31,11,11.05,4,3.45
27,10,11.05,3,3.2
33,8,12.25,5,3.4
10,5,6.6,3,2.3
46,13,15.1,6,4.05
3,2,2.7,2,1.3
28,10,11.85,3,3.2
27,9,10.95,3,3.45
15,6,8.3,7,2.7
10,4,6.15,4,2.7
17,7,8.1,4,3.15
30,10,12.95,5,3.45
9,5,5.6,4,2.55
15,9,7.2,5,2.85
50,11,16.75,8,3.35
9,5,5.8,4,2.5
10,5,5.45,4,2.75
6,3,4.3,3,2.2
8,5,5.3,3,2.35
4,2,3.4,3,1.6
15,5,6.9,5,3.25
3,2,2.7,2,1.3
18,5,8.95,6,3.0
41,11,14.35,4,3.35
41,12,13.9,6,3.75
16,5,8.2,6,2.9
7,3,4.85,4,2.3
6,3,4.2,3,2.2
10,3,6.1,7,2.45
33,10,13.45,4,3.65
15,7,7.9,4,2.95
16,8,7.45,3,2.95
18,8,8.7,3,3.05
31,7,12.5,8,3.4
23,10,9.35,4,3.1
31,8,11.65,9,3.9
37,11,13.2,5,3.6
11,7,5.95,3,2.7
26,8,10.9,5,3.5
48,12,16.3,5,3.55
16,4,7.1,9,3.25
29,9,11.5,5,3.3
31,17,12.4,6,3.65
29,8,10.95,4,3.65
21,9,9.9,4,3.5
16,7,8.3,3,2.8
4,2,3.3,3,1.7
25,8,11.3,6,3.05
22,7,9.8,5,3.35
22,5,9.65,6,3.2
9,3,5.4,6,2.65
10,5,6.35,3,2.65
11,7,6.85,4,2.65
10,5,5.9,4,2.45
6,3,4.45,3,2.0
7,3,4.85,5,2.2
23,7,11.15,4,3.0
13,5,6.85,3,2.9
17,8,8.4,4,2.95
19,7,8.75,4,3.05
22,7,9.5,5,3.5
18,6,9.15,4,2.9
24,9,10.0,5,3.3
16,7,8.2,6,2.95
28,9,11.35,4,3.45
20,8,10.0,4,2.95
32,9,12.95,6,3.5
19,10,8.35,4,3.3
25,6,10.7,6,3.25
21,8,10.0,7,3.2
47,13,13.6,6,3.7
